"","Codigo","Estacion","Municipio","Departamento","Latitud","Longitud","(m.s.n.m)","ENE","FEB","MAR","ABR","MAY","JUN","JUL","AGO","SEP","OCT","NOV","DIC","prom Anual","anosInformacion","fecha Inicio","fecha Final"
"416","23195200","Cachiri","Surata","Santander",7.47,-72.98,1850,0.33,0.45,1.97,3.03,2.27,1.73,0.97,1.06,1.76,2.55,1.12,0.7,1.49,"33","ene-79","jun-12"
"417","37015020","Berlín Automática","Tona","Santander",7.18,-72.87,3214,0.7,1.15,2.88,4.06,4.27,4.7,2.94,2.33,2.45,3.36,1.97,1.03,2.65,"32","ago-79","jun-12"
"418","24015270","Granja Vélez","Vélez","Santander",5.98,-73.67,2170,0.77,0.87,2.33,3.13,2.57,1.37,0.97,0.53,1.07,2.6,1.47,0.63,1.52,"27","mar-78","ene-12"
"419","24055030","Zapatoca","Zapatoca","Santander",6.78,-73.27,1810,0.5,1.1,1.53,2.6,2.27,2.37,0.97,0.53,1,1.93,1.37,0.93,1.43,"29","ene-79","feb-12"
"420","25025080","Aeropuerto Rafael Barvo","Corozal","Sucre",9.33,-75.27,166,0.14,0.41,1.05,1.64,2.23,2,1.27,1.27,2.23,1.91,1.14,0.59,1.32,"21","may-91","ago-12"
"421","25025240","Majagual","Majagual","Sucre",8.53,-74.63,20,0.5,0.53,1.53,2,2.43,1.6,1.03,1.63,2.27,2.47,1.2,0.97,1.51,"25","dic-78","may-09"
"422","25025270","Universidad de Sucre","Sampués","Sucre",9.2,-75.4,160,0.1,0.28,0.93,2.14,3.45,2.31,1.66,1.48,2,2.1,1.38,0.93,1.56,"28","ene-84","ago-12"
"423","25025180","San Benito Abad","San Benito Abad","Sucre",8.93,-75.03,20,0.18,0.36,0.77,1,2.14,1.5,0.73,0.73,1.5,1.64,1.09,0.64,1.02,"21","sep-91","mar-12"
"424","25025040","Aeropuerto La Florida","San Marcos","Sucre",8.7,-75.18,30,0.2,0.6,0.4,1.5,1.5,1.4,1.7,0.8,1.6,1.3,0.7,0.1,0.98,"8","ene-78","nov-91"
"425","21255080","El Salto","Ambalema","Tolima",4.78,-74.77,450,0.62,0.93,2.1,2,1.55,0.97,0.24,0.55,0.79,1.24,1.38,0.72,1.09,"28","ene-80","dic-09"
"426","21255090","Granja Armero","Armero","Tolima",5,-74.9,300,0.64,0.77,2.05,1.82,1.45,0.82,0.14,0.32,0.77,0.82,0.68,1,0.94,"22","ene-87","may-08"
"427","22055020","Mesa de Pole","Ataco","Tolima",3.45,-75.53,500,1.87,2.37,2.97,3.13,2.1,1.83,1.77,1.07,1.43,2.3,1.7,2.03,2.05,"29","dic-79","dic-09"
"428","21215100","Cajamarca","Cajamarca","Tolima",4.43,-75.42,1920,1.74,1.68,2.61,3.19,3.13,2.71,1.97,1.65,1.39,2.26,2.1,1.71,2.18,"31","ene-79","dic-09"
"429","22045010","Granja Demostración","Chaparral","Tolima",3.72,-75.5,1040,0.81,0.96,2.23,1.69,1.46,1.12,1.15,0.92,0.81,1.23,1.69,1.23,1.28,"26","sep-84","dic-09"
"430","22065050","El Limón","Chaparral","Tolima",3.72,-75.5,1000,2.25,3.38,3,2.88,2.13,1.38,2.5,0.75,1.38,3.13,3.38,2.25,2.36,"8","ene-84","dic-92"
"431","21155020","La Montana","Dolores","Tolima",3.55,-74.9,1260,1,2.29,2.14,2.57,1.86,1,1.14,0.57,1.29,2.29,2.86,1.29,1.69,"7","ene-84","dic-92"
"432","21155040","Hacienda Dolores Madron","Dolores","Tolima",3.52,-74.9,1456,0.59,0.96,1.89,2.26,1.81,1.04,0.56,0.52,0.81,1.33,1.26,0.89,1.16,"26","mar-79","ene-05"
"433","21185020","Nataima","Espinal","Tolima",4.18,-74.95,431,0.79,1,1.72,2,1.83,0.97,0.34,0.14,0.76,1.17,1.21,1.03,1.08,"29","ene-81","dic-09"
"434","21185040","Aeropuerto Santiago Vila","Flandes","Tolima",4.27,-74.78,286,0.48,0.63,1.33,1.44,0.85,0.56,0.15,0.15,0.41,0.56,0.56,0.78,0.66,"27","jul-83","dic-09"
"435","21185030","Guamo","Guamo","Tolima",4,-74.97,360,0.84,1.13,2.52,2.19,1.61,1.19,0.52,0.45,1,1.06,1.06,1,1.22,"30","ene-79","jun-11"
"436","23025020","La Esperanza","Honda","Tolima",5.25,-74.72,222,0.71,1.16,2.35,2.48,1.97,1.1,0.39,0.39,0.68,1.32,1.1,1.16,1.23,"31","ene-79","dic-09"
"437","21215010","La Primavera","Ibagué","Tolima",4.42,-75.25,1300,2.67,4.67,3,2,2.33,1,0.33,1.33,0.67,0.67,2.33,2.67,1.97,"3","ene-89","dic-92"
"438","21215070","Chapetón","Ibagué","Tolima",4.45,-75.27,1300,2.75,2.25,2,1.75,1.25,1,1.25,0.5,2.75,2.25,4,0.5,1.85,"4","ene-84","dic-87"
"439","21215140","Cementos Diamante","Ibagué","Tolima",4.32,-75.07,780,0.32,1,1.96,1.92,1.32,0.96,0.24,0.64,0.88,1.2,1.32,0.68,1.04,"23","ene-80","dic-05"
"440","21245010","Perales Hato Opia","Ibagué","Tolima",4.42,-75.08,750,0.96,1.57,2.71,2.61,1.64,1.29,0.5,0.64,0.82,1.64,1.68,1.21,1.44,"28","ene-80","dic-09"
"441","21245040","Aeropuerto Perales","Ibagué","Tolima",4.42,-75.13,928,1.18,1.79,2.76,2.85,1.85,1.64,0.67,0.39,0.82,1.85,2.21,1.42,1.62,"33","ene-79","nov-11"
"442","21255140","La Quinta","Lérida","Tolima",4.82,-74.92,500,0.56,0.74,1.56,1.19,1,0.44,0.07,0.26,0.37,0.81,0.44,0.44,0.66,"25","ene-84","mar-10"
"443","21255150","Hacienda García","Lérida","Tolima",4.85,-74.88,350,0.79,0.71,1.71,1.42,1.17,0.46,0.04,0.25,0.54,0.58,0.46,0.58,0.73,"23","ene-87","mar-10"
"444","21255130","La Trinidad","Líbano","Tolima",4.92,-75.07,1430,2.75,3.88,5.38,4.63,2.88,2.75,1,1.13,2.25,4.25,4.63,2.88,3.2,"8","ene-84","dic-92"
"445","23025040","Albania","Mariquita","Tolima",5.28,-74.9,500,1.32,1.27,2.32,2.18,1.36,1.18,0.64,0.41,1,0.73,1.32,1.23,1.25,"22","ene-88","dic-09"
"446","21135030","Anchique","Natagaima","Tolima",3.57,-75.1,415,0.24,0.62,1.32,1.15,0.85,0.56,0.41,0.24,0.38,0.62,0.38,0.47,0.6,"34","ene-79","dic-12"
"447","22025010","Aeropuerto Planadas","Planadas","Tolima",3.17,-75.67,1355,2.58,3.33,2.67,2.83,2,2.67,2.5,1.58,1.75,4.5,2.17,1.92,2.54,"11","ene-80","feb-93"
"448","21165010","Pst de Monta","Prado","Tolima",3.78,-74.92,349,0.22,1,2.09,1.61,1.48,0.78,0.22,0.61,0.96,0.96,0.7,0.91,0.96,"23","abr-87","dic-09"
"449","21165030","Lozanía","Purificación","Tolima",3.88,-74.77,400,0.66,1.38,2.66,2.91,1.94,1.38,0.38,0.47,0.84,1.38,1,0.75,1.31,"32","feb-78","dic-09"
"450","21135020","Jabalcón","Saldaña","Tolima",3.85,-75,425,0.44,1.24,2,1.8,2.12,2,0.28,0.36,0.64,0.68,1.08,0.76,1.12,"23","ago-87","abr-10"
"451","22065040","San Antonio Quinta","San Antonio","Tolima",3.9,-75.48,1500,1.24,1.45,2.66,2.34,2.1,1.66,1.28,1.14,1.21,1.55,1.83,1.34,1.65,"29","ene-81","dic-09"
"452","21255120","Villahermosa","Villahermosa","Tolima",5.02,-75.12,2029,3,3.31,3.44,3.69,2.31,1.75,1,1.38,1.88,3.56,3.06,2.5,2.57,"16","abr-79","jul-94"
"453","21165020","Luis Bustamante","Villarrica","Tolima",3.93,-74.6,1610,4.25,5.38,6,7.13,4.63,3.13,3.63,2.88,6.63,7,7.13,3,5.06,"8","ene-84","dic-92"
"454","26125100","Arturo Gómez","Alcalá","Valle",4.52,-75.55,1320,2.88,1.63,2.75,3.63,2.38,1.75,0.38,1,2.5,3,2.13,1.88,2.16,"8","ene-84","dic-92"
"455","54035020","Argelia El Recreo","Argelia","Valle",4.73,-76.12,1600,1.44,2,2.13,2.69,2.44,2.44,1,0.75,1,2.5,2.44,3.06,1.99,"14","mar-79","oct-94"
"456","53115010","Aeropuerto Buenaventura","Buenaventura","Valle",3.82,-76.98,14,5.54,4,5,4.46,5,4.85,4.69,3.38,4.85,5.31,5.54,5.46,4.84,"13","ene-76","oct-12"
"457","53115020","Colpuertos","Buenaventura","Valle",3.88,-77.07,10,4.86,3.45,4.5,4.86,4.86,4.82,3.5,4.27,3.95,5.86,5.55,6.45,4.75,"22","ene-80","dic-01"
"458","54075020","Bajo Calima","Buenaventura","Valle",3.95,-76.98,50,6.88,6.06,7.58,6.73,6.48,8.03,7,5.79,7.24,8.55,6.58,7.21,7.01,"32","ene-79","dic-12"
"459","54075040","La Misión","Buenaventura","Valle",4.22,-77.27,5,7.78,5.56,5.75,7.59,7.81,8.25,7.38,6.75,8.5,9.88,8.69,9.28,7.77,"32","ene-79","jun-11"
"460","26125140","Venecia","Caicedonia","Valle",4.33,-75.83,1170,2,2,3.6,3.6,0.8,1,0.4,0.8,1.8,1.8,2.2,1.6,1.8,"5","ene-87","dic-92"
"461","26055070","Universidad del Valle","Cali","Valle",3.37,-76.53,985,1.18,1.44,1.97,2.47,2,1.09,0.74,0.76,1.79,1.88,1.79,1.59,1.56,"34","ene-79","oct-12"
"462","26075060","Arreboles","Candelaria","Valle",3.43,-76.43,1100,0.2,0.4,0.8,2.2,1.2,1,NA,0.4,0.2,2.2,2,1.6,1.11,"5","feb-80","dic-85"
"463","54035030","Albán","El Cairo","Valle",4.77,-76.22,1400,3.25,2.5,3,3.5,2.5,2.25,0.5,1.25,1.13,3,3.25,3.5,2.47,"8","ene-84","dic-92"
"464","26095080","Tenerife","El Cerrito","Valle",3.72,-76.07,2609,1.89,2.54,3.8,4.17,3.63,2.46,1.37,1.46,2.49,3.94,4.26,3.2,2.93,"32","nov-76","feb-12"
"465","26075080","Cenicaña","Florida","Valle",3.35,-76.28,1013,1.04,0.96,1.52,1.76,1.96,1.08,0.64,0.52,0.92,1,1.52,1.04,1.16,"19","ene-83","ene-12"
"466","26095010","La Selva","Ginebra","Valle",3.75,-76.2,1800,4.75,3.75,5,5.75,4.75,2,1.25,1.5,1.5,5,4.25,4,3.63,"4","ene-89","nov-94"
"467","26095230","El Vinculo","Guadalajara de Buga","Valle",3.83,-76.28,979,1.21,1.17,2,2.62,2.14,1.17,0.45,0.52,1.66,2.45,2.41,2.72,1.71,"27","oct-83","dic-12"
"468","26055050","Potrerito","Jamundí","Valle",3.23,-76.58,1010,1,1,1.43,1.79,1.57,0.64,0.43,0.57,1.14,1.71,1.5,1.64,1.2,"13","may-79","ago-92"
"469","26115040","Centro Admo La Unión","La Unión","Valle",4.52,-76.05,920,2.94,2.42,2.24,3.42,3.06,2.61,1.58,1,2.18,3.52,3.45,2.88,2.61,"33","ene-79","oct-12"
"470","26075010","Palmira Ica","Palmira","Valle",3.5,-76.3,1050,1.07,1.36,1.96,2.25,2.25,1.75,0.54,0.5,1,2.07,2.07,1.54,1.53,"28","ene-79","oct-12"
"471","26075040","Aeropuerto A Bonilla Aut","Palmira","Valle",3.53,-76.38,961,1.03,1.26,1.4,1.86,2.23,1.29,0.43,0.29,0.86,1.57,1.66,1.54,1.28,"34","ene-76","nov-12"
"472","26075100","Granja Exp Hoeschst","Palmira","Valle",3.63,-76.43,950,1.64,1.29,1.5,2.14,2.36,1.36,0.57,0.43,0.71,1.57,2.21,3.5,1.61,"12","jun-90","ene-04"
"473","26095180","San Emigdio","Palmira","Valle",3.55,-76.2,1272,2.36,2.25,4,4.53,4.19,3.42,2.08,1.61,2.86,3.44,4.39,3.5,3.22,"36","ene-71","dic-10"
"474","53115030","Julio Fernández","Restrepo","Valle",3.82,-76.52,1360,1.75,1.5,2.25,2.88,2.38,1.63,0.5,1.25,1.63,3.13,3.25,1.5,1.97,"8","ene-84","dic-92"
"475","26115030","Tierrablanca","Roldanillo","Valle",4.42,-76.1,930,1.5,0.75,1.58,2.92,1.33,1,0.25,0.92,1.08,2.42,1.75,1.75,1.44,"10","may-79","ene-90"
"476","26105090","Heraclio Uribe","Sevilla","Valle",4.27,-75.92,1540,4.43,3.14,3.86,5.14,3,2.43,1.29,2.29,3.57,5,2.71,2.43,3.27,"7","ene-84","dic-90"
"477","26125130","Cumbarco","Sevilla","Valle",4.18,-75.82,1692,2.88,2.85,4.29,5.91,5,3.71,1.53,1.79,3.56,4.82,4.5,4.47,3.78,"32","mar-79","nov-12"
"478","26085110","Manuel M Mallarino","Trujillo","Valle",4.17,-76.35,1380,2.63,2,3.63,3.63,3.13,2.5,0.88,1.25,1.5,2.88,3.5,1.5,2.42,"8","ene-84","dic-92"
"479","26085130","La Buitrera","Yumbo","Valle",3.58,-76.57,1500,3.06,2.75,4.09,5.03,5.28,5.03,2.06,1.44,2.75,4.03,5.13,5.47,3.84,"32","ene-79","dic-10"
"480","26105110","Ingenio Riopaila","Zarzal","Valle",4.32,-76.07,941,1,0.56,0.75,1.81,1.81,0.63,0.5,0.25,0.88,1.94,1.25,2.13,1.13,"12","sep-91","oct-12"
"481","42065010","Aeropuerto Mitú","Mitú","Vaupés",1.27,-70.23,207,1.36,2.29,1.43,1.57,1.71,2.07,1.5,1.21,1.64,1.43,1.43,1.29,1.58,"10","nov-85","mar-98"
"482","42075010","Mitú","Mitú","Vaupés",1.25,-70.23,180,1.5,1.33,2.22,2.11,4,3,3.44,1.94,1.28,1.5,1.83,2.33,2.21,"18","jul-94","dic-12"
"483","33055010","Cumaribo","Cumaribo","Vichada",4.48,-69.8,125,0.41,0.59,1.14,2.55,4.09,3.45,2.27,2.27,1.73,1.45,0.77,0.41,1.76,"20","ago-91","dic-12"
"484","33065010","Jamury","Cumaribo","Vichada",4.37,-69.17,154,0.43,NA,0.57,2,1.71,1.14,1.57,0.71,0.29,0.71,NA,NA,1.02,"6","abr-78","jun-85"
"485","34015010","Las Gaviotas","Cumaribo","Vichada",4.55,-70.92,171,0.31,0.75,1.66,2.5,3.16,3.06,2.41,1.88,1.72,1.69,1.5,0.94,1.8,"29","jun-79","dic-12"
"486","34035010","Tuparro Bocas Tomo","Cumaribo","Vichada",5.35,-67.85,250,0.12,0.33,0.82,1.73,2.27,3.61,2.03,1.39,1.3,0.82,0.48,0.18,1.26,"29","ene-78","oct-12"
"487","34035020","El Tapón","Cumaribo","Vichada",5.1,-69.13,315,0.22,0.44,0.69,2.41,3.56,3.16,2.5,2.13,1.72,1.5,1.09,0.59,1.67,"29","ene-79","may-11"
"488","38015030","Aeropuerto Puerto Carreño","Puerto Carreño","Vichada",6.17,-67.48,50,0.12,0.21,0.74,2.03,3.03,3.03,2.12,2.15,1.65,1.15,0.94,0.41,1.46,"34","ene-78","dic-12"
