"","Codigo","Estacion","Municipio","Departamento","Latitud","Longitud","(m.s.n.m)","ENE","FEB","MAR","ABR","MAY","JUN","JUL","AGO","SEP","OCT","NOV","DIC","prom Anual","anosInformacion","fecha Inicio","fecha Final"
"279",21115100,"Palacio-Vegalarga","Neiva","Huila","2,93","-75,05",1100,"5,1","4,5","3,7","3,6","4,0","4,4","4,6","4,7","4,2","3,8","3,7","4,5","4,2",32,"ene-79","dic-12"
"280",21115150,"Villaranza","Neiva","Huila","2,93","-75,20",740,"5,7","5,0","4,8","4,7","5,8","4,9","5,1","5,1","5,0","4,6","5,2","6,2","5,2",5,"jun-83","dic-87"
"281",21095010,"El Juncal","Palermo","Huila","2,82","-75,32",460,"6,4","5,6","4,6","4,7","5,2","5,5","5,5","5,5","5,1","5,2","5,5","6,1","5,4",32,"abr-81","dic-12"
"282",21015020,"Sevilla","Pitalito","Huila","1,82","-76,12",1320,"4,8","4,1","3,2","3,5","3,9","3,8","3,7","3,9","4,2","4,2","4,3","4,7","4,0",33,"ene-79","dic-12"
"283",21015030,"Parque Arqueológico","San Agustín","Huila","1,88","-76,28",1800,"5,1","4,5","3,6","3,7","4,0","3,6","3,5","3,8","4,3","4,5","4,7","5,1","4,2",34,"ene-79","dic-12"
"284",21125010,"Santa María","Santa María","Huila","2,93","-75,58",1300,"5,2","4,8","3,9","3,8","4,5","4,8","4,8","4,8","4,7","4,0","4,0","4,7","4,5",30,"ene-79","dic-12"
"285",21085030,"San Rafael","Teruel","Huila","2,75","-75,57",1030,"5,0","4,4","3,7","3,8","4,0","4,3","4,0","4,1","4,4","4,2","3,8","4,2","4,2",22,"ene-86","dic-12"
"286",21115120,"La Boca","Villavieja","Huila","3,18","-75,27",420,"6,8","6,5","5,9","6,1","6,6","6,0","6,2","6,5","6,3","6,2","6,4","7,3","6,4",9,"sep-81","jul-89"
"287",21145040,"San Alfonso","Villavieja","Huila","3,37","-75,10",440,"5,1","4,8","4,1","4,6","5,0","5,0","5,3","5,4","5,1","4,8","4,5","4,3","4,8",33,"ene-79","may-12"
"288",15065050,"Camp Intercor","Albania","La Guajira","11,12","-72,52",122,"8,4","7,9","7,5","5,8","6,1","6,7","7,9","7,8","7,3","6,1","7,5","7,3","7,2",11,"jul-78","jul-89"
"289",15035020,"Termoguajira","Dibulla","La Guajira","11,25","-73,40",5,"7,5","6,2","6,0","5,2","4,7","6,2","6,8","6,2","5,3","5,3","5,6","6,4","5,9",16,"dic-91","feb-11"
"290",15065040,"La Paulina","Fonseca","La Guajira","10,88","-72,82",170,"9,4","9,2","8,2","6,8","6,5","7,3","8,0","7,4","6,6","6,4","7,8","8,5","7,7",20,"ene-76","jul-08"
"291",15065130,"La Mina","Hatonuevo","La Guajira","11,13","-72,60",80,"8,5","7,9","7,1","6,5","6,0","7,3","7,8","7,4","6,4","6,3","6,7","7,9","7,2",23,"abr-89","sep-12"
"292",15085010,"Aeropuerto Maicao","Maicao","La Guajira","11,40","-72,25",53,"8,5","8,2","7,1","5,3","6,0","7,4","8,2","8,3","6,6","6,2","7,4","7,2","7,2",8,"ene-79","sep-95"
"293",15085030,"Escuela Agronómica Carraipía","Maicao","La Guajira","11,20","-72,37",118,"7,2","6,6","6,0","4,8","4,7","6,1","7,0","6,8","5,8","5,7","6,0","6,4","6,1",34,"ene-79","oct-12"
"294",15075030,"Manaure","Manaure","La Guajira","11,77","-72,47",1,"7,6","7,2","7,0","6,2","6,5","7,7","7,6","8,0","7,1","6,3","6,7","6,7","7,0",25,"ago-79","sep-12"
"295",15045010,"Matitas","Riohacha","La Guajira","11,25","-73,02",20,"7,6","6,9","5,8","4,9","5,3","6,9","7,5","7,2","6,1","5,9","6,5","7,1","6,5",25,"ene-79","sep-12"
"296",15065010,"Aeropuerto Almirante Padilla","Riohacha","La Guajira","11,52","-72,92",4,"8,5","8,1","7,5","6,7","6,3","7,8","8,4","8,1","6,9","6,7","7,2","7,8","7,5",30,"dic-76","nov-12"
"297",15075010,"Bahía Honda","Uribía","La Guajira","12,32","-71,80",10,"8,3","8,3","7,1","5,8","6,3","7,0","5,8","6,8","6,5","6,4","7,7","7,8","7,0",8,"feb-79","jun-86"
"298",15075060,"Puerto Bolívar","Uribía","La Guajira","12,22","-71,98",10,"9,0","9,1","8,7","8,1","7,9","8,0","8,9","9,1","7,9","7,2","7,6","8,4","8,3",25,"oct-86","oct-12"
